"tagfield","liblibrarian","libopac","repeatable","mandatory","important","authorised_value","ind1_defaultvalue","ind2_defaultvalue","frameworkcode"
"082","q","Zuweisende Stelle","Zuweisende Stelle","0","0","0","","0","","","","","-6","FA","","","","9999","0"
"090","a","Notation (OCLC) (R) ; Notation, CALL (RLIN) (NR)","Notation (OCLC) (R) ; Notation, CALL (RLIN) (NR)","1","0","0","","0","","","","0","5","FA","","","","9999","0"
"090","b","Local cutter number (OCLC) ; Book number/undivided call number, CALL (RLIN)","Local cutter number (OCLC) ; Book number/undivided call number, CALL (RLIN)","0","0","0","","0","","","","0","5","FA","","","","9999","0"
"090","e","Feature heading (OCLC)","Feature heading (OCLC)","0","0","0","","0","","","","0","5","FA","","","","9999","0"
"090","f","Filing suffix (OCLC); Footnote, FNT (RLIN)","Filing suffix (OCLC); Footnote, FNT (RLIN)","0","0","0","","0","","","","0","5","FA","","","","9999","0"
"090","h","Output transaction history, HST (RLIN)","Output transaction history, HST (RLIN)","0","0","0","","0","","","","0","5","FA","","","","9999","0"
"090","i","Output transaction instruction, INS (RLIN)","Output transaction instruction, INS (RLIN)","0","0","0","","0","","","","0","5","FA","","","","9999","0"
"090","l","Extra card control statement, EXT (RLIN)","Extra card control statement, EXT (RLIN)","0","0","0","","0","","","","0","5","FA","","","","9999","0"
"090","n","Additional local notes, ANT (RLIN)","Additional local notes, ANT (RLIN)","0","0","0","","0","","","","0","5","FA","","","","9999","0"
"090","p","Pathfinder code, PTH (RLIN)","Pathfinder code, PTH (RLIN)","0","0","0","","0","","","","0","5","FA","","","","9999","0"
"090","t","Field suppresion, FSP (RLIN)","Field suppresion, FSP (RLIN)","0","0","0","","0","","","","0","5","FA","","","","9999","0"
"090","v","Volumes, VOL (RLIN)","Volumes, VOL (RLIN)","0","0","0","","0","","","","0","5","FA","","","","9999","0"
"090","y","Date, VOL (RLIN)","Date, VOL (RLIN)","0","0","0","","0","","","","0","5","FA","","","","9999","0"
"090","z","Retention, VOL (RLIN)","Retention, VOL (RLIN)","0","0","0","","0","","","","0","5","FA","","","","9999","0"
"099","a","Notation","Notation","1","0","0","","0","","","","","-6","FA","","","","9999","0"
"099","e","Feature heading","Feature heading","0","0","0","","0","","","","0","-6","FA","","","","9999","0"
"099","f","Filing suffix","Filing suffix","0","0","0","","0","","","","0","-6","FA","","","","9999","0"
